# Official VTank GameInfoDB CraftInteractions: item1<TAB>item2<TAB>result<TAB>count<TAB>skill<TAB>difficulty<TAB>id
Wrapped Bundle of Barbed Arrowheads	Wrapped Bundle of Arrowshafts	Barbed Arrow	250	37	55	1
Wrapped Bundle of Greater Barbed Arrowheads	Wrapped Bundle of Arrowshafts	Greater Barbed Arrow	250	37	209	2
Wrapped Bundle of Deadly Barbed Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Barbed Arrow	250	37	220	3
Wrapped Bundle of Barbed Arrowheads	Wrapped Bundle of Quarrelshafts	Barbed Quarrel	250	37	55	4
Wrapped Bundle of Greater Barbed Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Barbed Quarrel	250	37	209	5
Wrapped Bundle of Deadly Barbed Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Barbed Quarrel	250	37	220	6
Wrapped Bundle of Barbed Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Barbed Atlatl Dart	250	37	55	7
Wrapped Bundle of Greater Barbed Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Barbed Atlatl Dart	250	37	209	8
Wrapped Bundle of Deadly Barbed Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Barbed Atlatl Dart	250	37	220	9
Wrapped Bundle of Blunt Arrowheads	Wrapped Bundle of Arrowshafts	Blunt Arrow	250	37	0	10
Wrapped Bundle of Greater Blunt Arrowheads	Wrapped Bundle of Arrowshafts	Greater Blunt Arrow	250	37	0	11
Wrapped Bundle of Deadly Blunt Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Blunt Arrow	250	37	198	12
Wrapped Bundle of Blunt Arrowheads	Wrapped Bundle of Quarrelshafts	Blunt Quarrel	250	37	0	13
Wrapped Bundle of Greater Blunt Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Blunt Quarrel	250	37	0	14
Wrapped Bundle of Deadly Blunt Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Blunt Quarrel	250	37	198	15
Wrapped Bundle of Blunt Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Blunt Atlatl Dart	250	37	0	16
Wrapped Bundle of Greater Blunt Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Blunt Atlatl Dart	250	37	0	17
Wrapped Bundle of Deadly Blunt Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Blunt Atlatl Dart	250	37	198	18
Wrapped Bundle of Armor Piercing Arrowheads	Wrapped Bundle of Arrowshafts	Armor Piercing Arrow	250	37	0	19
Wrapped Bundle of Greater Armor Piercing Arrowheads	Wrapped Bundle of Arrowshafts	Greater Armor Piercing Arrow	250	37	0	20
Wrapped Bundle of Deadly Armor Piercing Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Armor Piercing Arrow	250	37	220	21
Wrapped Bundle of Armor Piercing Arrowheads	Wrapped Bundle of Quarrelshafts	Armor Piercing Quarrel	250	37	0	22
Wrapped Bundle of Greater Armor Piercing Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Armor Piercing Quarrel	250	37	0	23
Wrapped Bundle of Deadly Armor Piercing Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Armor Piercing Quarrel	250	37	220	24
Wrapped Bundle of Armor Piercing Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Armor Piercing Atlatl Dart	250	37	0	25
Wrapped Bundle of Greater Armor Piercing Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Armor Piercing Atlatl Dart	250	37	0	26
Wrapped Bundle of Deadly Armor Piercing Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Armor Piercing Atlatl Dart	250	37	220	27
Wrapped Bundle of Frog Crotch Arrowheads	Wrapped Bundle of Arrowshafts	Frog Crotch Arrow	250	37	0	28
Wrapped Bundle of Greater Frog Crotch Arrowheads	Wrapped Bundle of Arrowshafts	Greater Frog Crotch Arrow	250	37	0	29
Wrapped Bundle of Deadly Frog Crotch Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Frog Crotch Arrow	250	37	220	30
Wrapped Bundle of Frog Crotch Arrowheads	Wrapped Bundle of Quarrelshafts	Frog Crotch Quarrel	250	37	0	31
Wrapped Bundle of Greater Frog Crotch Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Frog Crotch Quarrel	250	37	0	32
Wrapped Bundle of Deadly Frog Crotch Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Frog Crotch Quarrel	250	37	220	33
Wrapped Bundle of Frog Crotch Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Frog Crotch Atlatl Dart	250	37	0	34
Wrapped Bundle of Greater Frog Crotch Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Frog Crotch Atlatl Dart	250	37	0	35
Wrapped Bundle of Deadly Frog Crotch Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Frog Crotch Atlatl Dart	250	37	220	36
Wrapped Bundle of Fire Arrowheads	Wrapped Bundle of Arrowshafts	Fire Arrow	250	37	0	37
Wrapped Bundle of Greater Fire Arrowheads	Wrapped Bundle of Arrowshafts	Greater Fire Arrow	250	37	0	38
Wrapped Bundle of Deadly Fire Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Fire Arrow	250	37	275	39
Wrapped Bundle of Fire Arrowheads	Wrapped Bundle of Quarrelshafts	Fire Quarrel	250	37	0	40
Wrapped Bundle of Greater Fire Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Fire Quarrel	250	37	0	41
Wrapped Bundle of Deadly Fire Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Fire Quarrel	250	37	275	42
Wrapped Bundle of Fire Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Fire Atlatl Dart	250	37	0	43
Wrapped Bundle of Greater Fire Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Fire Atlatl Dart	250	37	0	44
Wrapped Bundle of Deadly Fire Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Fire Atlatl Dart	250	37	275	45
Wrapped Bundle of Lightning Arrowheads	Wrapped Bundle of Arrowshafts	Lightning Arrow	250	37	0	46
Wrapped Bundle of Greater Lightning Arrowheads	Wrapped Bundle of Arrowshafts	Greater Lightning Arrow	250	37	0	47
Wrapped Bundle of Deadly Lightning Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Lightning Arrow	250	37	275	48
Wrapped Bundle of Lightning Arrowheads	Wrapped Bundle of Quarrelshafts	Lightning Quarrel	250	37	0	49
Wrapped Bundle of Greater Lightning Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Lightning Quarrel	250	37	0	50
Wrapped Bundle of Deadly Lightning Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Lightning Quarrel	250	37	275	51
Wrapped Bundle of Lightning Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Lightning Atlatl Dart	250	37	0	52
Wrapped Bundle of Greater Lightning Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Lightning Atlatl Dart	250	37	0	53
Wrapped Bundle of Deadly Lightning Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Lightning Atlatl Dart	250	37	275	54
Wrapped Bundle of Acid Arrowheads	Wrapped Bundle of Arrowshafts	Acid Arrow	250	37	0	55
Wrapped Bundle of Greater Acid Arrowheads	Wrapped Bundle of Arrowshafts	Greater Acid Arrow	250	37	0	56
Wrapped Bundle of Deadly Acid Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Acid Arrow	250	37	275	57
Wrapped Bundle of Acid Arrowheads	Wrapped Bundle of Quarrelshafts	Acid Quarrel	250	37	0	58
Wrapped Bundle of Greater Acid Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Acid Quarrel	250	37	0	59
Wrapped Bundle of Deadly Acid Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Acid Quarrel	250	37	275	60
Wrapped Bundle of Acid Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Acid Atlatl Dart	250	37	0	61
Wrapped Bundle of Greater Acid Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Acid Atlatl Dart	250	37	0	62
Wrapped Bundle of Deadly Acid Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Acid Atlatl Dart	250	37	275	63
Wrapped Bundle of Frost Arrowheads	Wrapped Bundle of Arrowshafts	Frost Arrow	250	37	0	64
Wrapped Bundle of Greater Frost Arrowheads	Wrapped Bundle of Arrowshafts	Greater Frost Arrow	250	37	0	65
Wrapped Bundle of Deadly Frost Arrowheads	Wrapped Bundle of Arrowshafts	Deadly Frost Arrow	250	37	275	66
Wrapped Bundle of Frost Arrowheads	Wrapped Bundle of Quarrelshafts	Frost Quarrel	250	37	0	67
Wrapped Bundle of Greater Frost Arrowheads	Wrapped Bundle of Quarrelshafts	Greater Frost Quarrel	250	37	0	68
Wrapped Bundle of Deadly Frost Arrowheads	Wrapped Bundle of Quarrelshafts	Deadly Frost Quarrel	250	37	275	69
Wrapped Bundle of Frost Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Frost Atlatl Dart	250	37	0	70
Wrapped Bundle of Greater Frost Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Greater Frost Atlatl Dart	250	37	0	71
Wrapped Bundle of Deadly Frost Arrowheads	Wrapped Bundle of Atlatl Dartshafts	Deadly Frost Atlatl Dart	250	37	275	72
Bundle of Barbed Arrowheads	Bundle of Arrowshafts	Barbed Arrow	10	37	0	73
Bundle of Greater Barbed Arrowheads	Bundle of Arrowshafts	Greater Barbed Arrow	10	37	0	74
Bundle of Deadly Barbed Arrowheads	Bundle of Arrowshafts	Deadly Barbed Arrow	10	37	0	75
Bundle of Barbed Arrowheads	Bundle of Quarrelshafts	Barbed Quarrel	10	37	0	76
Bundle of Greater Barbed Arrowheads	Bundle of Quarrelshafts	Greater Barbed Quarrel	10	37	0	77
Bundle of Deadly Barbed Arrowheads	Bundle of Quarrelshafts	Deadly Barbed Quarrel	10	37	0	78
Bundle of Barbed Arrowheads	Bundle of Atlatl Dart shafts	Barbed Atlatl Dart	10	37	0	79
Bundle of Greater Barbed Arrowheads	Bundle of Atlatl Dart shafts	Greater Barbed Atlatl Dart	10	37	0	80
Bundle of Deadly Barbed Arrowheads	Bundle of Atlatl Dart shafts	Deadly Barbed Atlatl Dart	10	37	0	81
Bundle of Blunt Arrowheads	Bundle of Arrowshafts	Blunt Arrow	10	37	0	82
Bundle of Greater Blunt Arrowheads	Bundle of Arrowshafts	Greater Blunt Arrow	10	37	0	83
Bundle of Deadly Blunt Arrowheads	Bundle of Arrowshafts	Deadly Blunt Arrow	10	37	0	84
Bundle of Blunt Arrowheads	Bundle of Quarrelshafts	Blunt Quarrel	10	37	0	85
Bundle of Greater Blunt Arrowheads	Bundle of Quarrelshafts	Greater Blunt Quarrel	10	37	0	86
Bundle of Deadly Blunt Arrowheads	Bundle of Quarrelshafts	Deadly Blunt Quarrel	10	37	0	87
Bundle of Blunt Arrowheads	Bundle of Atlatl Dart shafts	Blunt Atlatl Dart	10	37	0	88
Bundle of Greater Blunt Arrowheads	Bundle of Atlatl Dart shafts	Greater Blunt Atlatl Dart	10	37	0	89
Bundle of Deadly Blunt Arrowheads	Bundle of Atlatl Dart shafts	Deadly Blunt Atlatl Dart	10	37	0	90
Bundle of Armor Piercing Arrowheads	Bundle of Arrowshafts	Armor Piercing Arrow	10	37	0	91
Bundle of Greater Armor Piercing Arrowheads	Bundle of Arrowshafts	Greater Armor Piercing Arrow	10	37	0	92
Bundle of Deadly Armor Piercing Arrowheads	Bundle of Arrowshafts	Deadly Armor Piercing Arrow	10	37	0	93
Bundle of Armor Piercing Arrowheads	Bundle of Quarrelshafts	Armor Piercing Quarrel	10	37	0	94
Bundle of Greater Armor Piercing Arrowheads	Bundle of Quarrelshafts	Greater Armor Piercing Quarrel	10	37	0	95
Bundle of Deadly Armor Piercing Arrowheads	Bundle of Quarrelshafts	Deadly Armor Piercing Quarrel	10	37	0	96
Bundle of Armor Piercing Arrowheads	Bundle of Atlatl Dart shafts	Armor Piercing Atlatl Dart	10	37	0	97
Bundle of Greater Armor Piercing Arrowheads	Bundle of Atlatl Dart shafts	Greater Armor Piercing Atlatl Dart	10	37	0	98
Bundle of Deadly Armor Piercing Arrowheads	Bundle of Atlatl Dart shafts	Deadly Armor Piercing Atlatl Dart	10	37	0	99
Bundle of Frog Crotch Arrowheads	Bundle of Arrowshafts	Frog Crotch Arrow	10	37	0	100
Bundle of Greater Frog Crotch Arrowheads	Bundle of Arrowshafts	Greater Frog Crotch Arrow	10	37	0	101
Bundle of Deadly Frog Crotch Arrowheads	Bundle of Arrowshafts	Deadly Frog Crotch Arrow	10	37	0	102
Bundle of Frog Crotch Arrowheads	Bundle of Quarrelshafts	Frog Crotch Quarrel	10	37	0	103
Bundle of Greater Frog Crotch Arrowheads	Bundle of Quarrelshafts	Greater Frog Crotch Quarrel	10	37	0	104
Bundle of Deadly Frog Crotch Arrowheads	Bundle of Quarrelshafts	Deadly Frog Crotch Quarrel	10	37	0	105
